GUI.show_tooltip                            -- Begin --                            | ('Filter will be reflected in Test cases list below.',)
GUI.get_files                               -- Function executed successfully  --  | ['0x10_1_PositiveFlow.py', '0x10_2_Syntax_NRC_check.py', '0x10_3_Syntax_NoResp.py', '0x10_4_Functionality.py', '0x10_BootMode_1_PosFlow.py', '0x10_BootMode_2_NRC_Check.py', '0x10_BootMode_3_NoResponse.py', '0x10_BootMode_4.py', 'config.ini', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.checkbox_toggle                         -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'RID_0200_Issue__506409.7z', 'Test_00_Basic_PyUDS_TestScript.py', 'Test_01_CanoeSimulation.py', 'Test_02_Read_Data_ID.py', 'Test_03_Excel.py', 'Test_04_AllServices.py', 'Test_05_SecurityLevels.py', 'Test_06_Signals_EnvVariables.py', 'Test_07_Step_delay.py', 'Test_08_SecurityLevels_CMAC_AES_Encryption - Copy.py', 'Test_09_Ignition_switch.py', 'Test_10_Signals+Custom_UDS.py', 'Test_11_Transition_to_programmingSession.py', 'Test_12_2C_Cumstom_UDS.py', 'Test_13_ProvisionKeys.py', 'Test_14_DisableComm_ReqSeed_01.py', 'Test_15_Multiple_tester.py', 'Test_16_WriteSBAT_NRC33.py', 'Test_17_PowerSupply.py', 'Test_18_Sys_Vars.py', 'Test_19_TimeSync_Thread.py', 'Test_20_Service_0x2A_Timing_DataIntegrity.py', 'Test_21_DataLength.py', 'Test_22_NestedNS_Sys_Vars.py', 'Test_23_Binary_Test.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Filter will be reflected in Test cases list below.',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3388_0x10', 'CG3388_0x11', 'CG3388_0x14', 'CG3388_0x19', 'CG3388_0x22', 'CG3388_0x27', 'CG3388_0x28', 'CG3388_0x2A', 'CG3388_0x2C', 'CG3388_0x2E', 'CG3388_0x2F', 'CG3388_0x31', 'CG3388_0x3E', 'CG3388_0x85', 'CG3388_Multiple_Tester', 'CG3388_Scanner', 'CG3388_TransportLayer', 'CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03BC', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess', 'CG3687_Comp_Hand', 'CG3687_Diagnostic_Address_Support', 'CG3687_ECU_Proc_Modes', 'CG3687_Gen_Boot_Requirements', 'CG3687_Proc_Modes_Details', 'CG3687_Programming_Error_Codes', 'CG3687_Prog_Data_Files', 'CG3687_Prog_Sess_Det', 'CG3687_Robustness', 'CG4577_RationalityApplication', 'CG4577_RationalityInfrastructure', 'DPS', '__Examples__', '__pycache__']
GUI.show_tooltip                            -- Begin --                            | ('Directory containing report folders to be analyzed',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Generated HTML report is going to be saved to this directory',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'RID_0200_Issue__506409.7z', 'Test_00_Basic_PyUDS_TestScript.py', 'Test_01_CanoeSimulation.py', 'Test_02_Read_Data_ID.py', 'Test_03_Excel.py', 'Test_04_AllServices.py', 'Test_05_SecurityLevels.py', 'Test_06_Signals_EnvVariables.py', 'Test_07_Step_delay.py', 'Test_08_SecurityLevels_CMAC_AES_Encryption - Copy.py', 'Test_09_Ignition_switch.py', 'Test_10_Signals+Custom_UDS.py', 'Test_11_Transition_to_programmingSession.py', 'Test_12_2C_Cumstom_UDS.py', 'Test_13_ProvisionKeys.py', 'Test_14_DisableComm_ReqSeed_01.py', 'Test_15_Multiple_tester.py', 'Test_16_WriteSBAT_NRC33.py', 'Test_17_PowerSupply.py', 'Test_18_Sys_Vars.py', 'Test_19_TimeSync_Thread.py', 'Test_20_Service_0x2A_Timing_DataIntegrity.py', 'Test_21_DataLength.py', 'Test_22_NestedNS_Sys_Vars.py', 'Test_23_Binary_Test.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.set_default                             -- Begin --                            | ()
GUI.set_default                             -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.set_default                             -- Begin --                            | ()
GUI.set_default                             -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.set_default                             -- Begin --                            | ()
GUI.set_default                             -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.set_default                             -- Begin --                            | ()
GUI.show_tooltip                            -- Begin --                            | ('Filter will be reflected in Test cases list below.',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3388_0x10', 'CG3388_0x11', 'CG3388_0x14', 'CG3388_0x19', 'CG3388_0x22', 'CG3388_0x27', 'CG3388_0x28', 'CG3388_0x2A', 'CG3388_0x2C', 'CG3388_0x2E', 'CG3388_0x2F', 'CG3388_0x31', 'CG3388_0x3E', 'CG3388_0x85', 'CG3388_Multiple_Tester', 'CG3388_Scanner', 'CG3388_TransportLayer', 'CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03BC', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess', 'CG3687_Comp_Hand', 'CG3687_Diagnostic_Address_Support', 'CG3687_ECU_Proc_Modes', 'CG3687_Gen_Boot_Requirements', 'CG3687_Proc_Modes_Details', 'CG3687_Programming_Error_Codes', 'CG3687_Prog_Data_Files', 'CG3687_Prog_Sess_Det', 'CG3687_Robustness', 'CG4577_RationalityApplication', 'CG4577_RationalityInfrastructure', 'DPS', '__Examples__', '__pycache__']
GUI.show_tooltip                            -- Begin --                            | ('Directory containing report folders to be analyzed',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Generated HTML report is going to be saved to this directory',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'RID_0200_Issue__506409.7z', 'Test_00_Basic_PyUDS_TestScript.py', 'Test_01_CanoeSimulation.py', 'Test_02_Read_Data_ID.py', 'Test_03_Excel.py', 'Test_04_AllServices.py', 'Test_05_SecurityLevels.py', 'Test_06_Signals_EnvVariables.py', 'Test_07_Step_delay.py', 'Test_08_SecurityLevels_CMAC_AES_Encryption - Copy.py', 'Test_09_Ignition_switch.py', 'Test_10_Signals+Custom_UDS.py', 'Test_11_Transition_to_programmingSession.py', 'Test_12_2C_Cumstom_UDS.py', 'Test_13_ProvisionKeys.py', 'Test_14_DisableComm_ReqSeed_01.py', 'Test_15_Multiple_tester.py', 'Test_16_WriteSBAT_NRC33.py', 'Test_17_PowerSupply.py', 'Test_18_Sys_Vars.py', 'Test_19_TimeSync_Thread.py', 'Test_20_Service_0x2A_Timing_DataIntegrity.py', 'Test_21_DataLength.py', 'Test_22_NestedNS_Sys_Vars.py', 'Test_23_Binary_Test.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.set_default                             -- Begin --                            | ()
GUI.set_default                             -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
